image_id,quality,height,width,nmae,nrmse
839,40,1356,2040,0.032610938,0.045011695
839,50,1356,2040,0.03256012,0.04292337
839,60,1356,2040,0.021946961,0.030080196
839,70,1356,2040,0.029042695,0.03936906
839,80,1356,2040,0.010832525,0.0135748
839,95,1356,2040,0.0073336745,0.009050234
840,1,1356,2040,0.096237265,0.14271018
840,10,1356,2040,0.026919557,0.043933563
840,20,1356,2040,0.017001087,0.030919729
840,30,1356,2040,0.011381915,0.021465339
840,40,1356,2040,0.008262865,0.017835848
840,50,1356,2040,0.0065014185,0.013973685
840,60,1356,2040,0.005970094,0.013738874
840,70,1356,2040,0.005378423,0.010504793
840,80,1356,2040,0.004494445,0.009220812
840,95,1356,2040,0.0021482802,0.0044521587
841,1,1356,2040,0.07027484,0.090670034
841,10,1356,2040,0.011741154,0.019949995
841,20,1356,2040,0.010242967,0.013758688
841,30,1356,2040,0.008778807,0.012748276
841,40,1356,2040,0.008762091,0.011795119
841,50,1356,2040,0.007236321,0.009858975
841,60,1356,2040,0.006475836,0.008566604
841,70,1356,2040,0.0060901227,0.008069934
841,80,1356,2040,0.0032035422,0.004834087
841,95,1356,2040,0.0012987137,0.002081335
842,1,1356,2040,0.04272944,0.057238422
842,10,1356,2040,0.017853016,0.02705208
842,20,1356,2040,0.010330091,0.015090524
842,30,1356,2040,0.0079049645,0.011262261
842,40,1356,2040,0.00917389,0.013383875
842,50,1356,2040,0.0068029533,0.009984147
842,60,1356,2040,0.0068415706,0.0096354745
842,70,1356,2040,0.00686615,0.009329963
842,80,1356,2040,0.004239319,0.0057808133
842,95,1356,2040,0.0013535419,0.0021090235
843,1,1356,2040,0.10025197,0.1410445
843,10,1356,2040,0.054570705,0.07510554
843,20,1356,2040,0.04602651,0.059706632
843,30,1356,2040,0.051487733,0.06275831
843,40,1356,2040,0.05172128,0.06137063
843,50,1356,2040,0.048286524,0.060128544
843,60,1356,2040,0.04172677,0.049693815
843,70,1356,2040,0.018934239,0.025992008
843,80,1356,2040,0.03217615,0.038736727
843,95,1356,2040,0.014091379,0.018967666
844,1,2040,1356,0.027253527,0.045847896
844,10,2040,1356,0.016459562,0.026209027
844,20,2040,1356,0.011159285,0.02022406
844,30,2040,1356,0.009835436,0.015681565
844,40,2040,1356,0.006254127,0.010889897
844,50,2040,1356,0.0101874815,0.014159003
844,60,2040,1356,0.003969093,0.0074689626
844,70,2040,1356,0.0045674983,0.006394051
844,80,2040,1356,0.0026668431,0.0040897895
844,95,2040,1356,0.0018964069,0.003229868
845,1,1356,2040,0.020874681,0.030843858
845,10,1356,2040,0.013415548,0.022019368
845,20,1356,2040,0.009133038,0.0128577845
845,30,1356,2040,0.0073668547,0.012281701
845,40,1356,2040,0.006385441,0.011907503
845,50,1356,2040,0.005995839,0.009853723
845,60,1356,2040,0.0064889984,0.00980981
845,70,1356,2040,0.006713039,0.010117835
845,80,1356,2040,0.0050779856,0.0081828125
845,95,1356,2040,0.0022580968,0.0034867832
846,1,1368,2040,0.019430304,0.028232062
846,10,1368,2040,0.0055174986,0.008985561
846,20,1368,2040,0.0038273032,0.00632665
846,30,1368,2040,0.0016853968,0.003577094
846,40,1368,2040,0.0013791935,0.0027811092
846,50,1368,2040,0.003016366,0.004199242
846,60,1368,2040,0.002851869,0.003881433
846,70,1368,2040,0.0029425276,0.003981604
846,80,1368,2040,0.0030429233,0.0047627864
846,95,1368,2040,0.0021228036,0.0029954147
847,1,2040,1356,0.028669102,0.04056254
847,10,2040,1356,0.016686913,0.021755753
847,20,2040,1356,0.021325994,0.023276515
847,30,2040,1356,0.018961776,0.021293744
847,40,2040,1356,0.016313778,0.018768096
847,50,2040,1356,0.016956579,0.018862657
847,60,2040,1356,0.017376823,0.018526673
847,70,2040,1356,0.014660846,0.015650462
847,80,2040,1356,0.009089804,0.009703224
847,95,2040,1356,0.002302773,0.0026534824
848,1,1536,2040,0.036762476,0.061237082
848,10,1536,2040,0.0116593195,0.017367652
848,20,1536,2040,0.011946532,0.018000782
848,30,1536,2040,0.008747122,0.013145278
848,40,1536,2040,0.007091379,0.010678811
848,50,1536,2040,0.007631425,0.01210453
848,60,1536,2040,0.008101344,0.015403523
848,70,1536,2040,0.006029215,0.01120148
848,80,1536,2040,0.003235817,0.0054691886
848,95,1536,2040,0.0016924023,0.0032343222
849,1,1356,2040,0.11748404,0.14436224
849,10,1356,2040,0.03192902,0.047099557
849,20,1356,2040,0.01776857,0.02739998
849,30,1356,2040,0.014212672,0.021548811
849,40,1356,2040,0.01122361,0.018012058
849,50,1356,2040,0.011339016,0.017417634
849,60,1356,2040,0.009699814,0.014694508
849,70,1356,2040,0.008904315,0.013343295
849,80,1356,2040,0.007991559,0.01130828
849,95,1356,2040,0.0055383854,0.0077600144
850,1,1356,2040,0.020120552,0.026530774
850,10,1356,2040,0.009877903,0.01327514
850,20,1356,2040,0.010607967,0.013146648
850,30,1356,2040,0.008433776,0.010253195
850,40,1356,2040,0.0076298635,0.009261288
850,50,1356,2040,0.006632206,0.007986777
